Date,App,Age ,Gender,Do you order food from online food apps?  ,How frequently do you use food apps? ,How much do you spend on an average on food on each transaction,What time during the day do you order the food most often?,Rate your overall satisfaction with the restaurant that you ordered food recently.,I pay much attention on the price discount offered by vendor.,The money saved by finding lower price usually worth the time and effort.,The time it took to find lower price usually worth the effort.,I am willing to go to extra to find lower price.,"Getting coupons from food app, I feel I am getting a good deal.",The restaurant vendor is trustworthy.,Restaurant wants to be known as one who Keep's promises and commitment.,I find it necessary to be cautious with this Restaurant.,I trust this store keeps my best interest in my mind.,This retailer has more to lose than to gain by not delivering on their promise,The food is fresh what delivered by restaurant.,Restaurant has good variety in their menu.,The food is delicious.,Hot food is served by restaurant vendor.,Food is tasty and flavored,Food is quickly delivered,Food is delivered on promised time.,Average on-road time taken is satisfactory.,The rating of the restaurant was high,The reviews of the restaurant was good,I will make purchase again on the food apps.,I will visit food apps again in the future.,I intend to recommend the online food apps that I regularly use to people around me.,I will never purchase from the same vendor.," Have you faced any problems with online food apps?If yes, please state "
2/27/2020,Food Panda,22,Female,Yes,Weekly,500-750,Snacks,Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,GPS Indication
2/28/2020,Zomato,22,Male,Yes,Daily,250-500,Lunch,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly disagree,Only a few times when the restaurant fails to deliver what was promised.
2/29/2020,Zomato,22,Male,Yes,Monthly,250-500,Dinner,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,
2/29/2020,Food Panda,22,Female,Yes,Weekly,500-750,Lunch,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,
2/29/2020,Food Panda,22,Female,Yes,Weekly,500-750,Lunch,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,
2/29/2020,Zomato,22,Male,Yes,Weekly,500-750,Dinner,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,
2/29/2020,Food Panda,22,Male,Yes,Weekly,250-500,Snacks,Neutral,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,
2/29/2020,Swiggy,22,Male,Yes,Weekly,500-750,Snacks,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,
2/29/2020,Zomato,18,Female,Yes,Monthly,250-500,Dinner,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,No
2/29/2020,Zomato,26,Male,Yes,Monthly,500-750,Dinner,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,
